noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,12084,London,0,6.38
False,False,False,23355,New York,2,5.38
False,False,False,5382,New York,0,1.17
False,False,False,6865,Tokyo,0,4.89
False,True,True,13749,Tokyo,2,5.51
False,False,False,9588,New York,4,2.24
False,True,False,3705,Sydney,1,50.94
False,True,True,48877,London,4,9.39
False,False,False,13133,Tokyo,2,5.95
False,False,False,4823,London,3,2.31
False,False,False,4644,Tokyo,2,6.58
False,False,False,12604,London,4,16.85
False,False,False,12702,London,0,17.73
True,True,True,21246,London,4,71.57
False,False,False,5597,Tokyo,0,80.3
False,True,False,6649,Tokyo,2,15.05
False,False,False,4650,Tokyo,1,10.23
False,False,False,5978,Tokyo,2,34.08
False,False,False,7498,New York,2,39.47
False,True,True,9511,London,0,10.68
False,False,False,27142,London,3,17.17
False,True,False,13734,London,3,16.27
True,False,False,9411,London,3,55.71
False,True,True,6662,Tokyo,0,14.5
False,False,False,7364,Tokyo,1,51.15
False,False,False,4203,New York,4,12.46
False,False,False,4430,New York,4,12.05
False,True,False,3135,New York,1,12.61
